name,lat,long,land_use_id,business_type_id
Maili Nne Station,0.5181645,35.2717107,4,11
Kungut Top Life Pub,0.5680906,35.2341574,4,11
Javan Pub,0.5686833,35.2341735,4,11
Annan's Keg Den,0.5657599,35.2312835,4,12
Amani Pub,0.565493,35.2307631,4,11
Mawindo Pub,0.5685332,35.2342513,4,11
Pub Oregon,0.5680665,35.2338678,4,11
Connection Pub,0.5680477,35.2338517,4,11
California Pub & Butchery,0.5695868,35.2334017,4,11
Fly Over Bar And Restaurant,0.5601586,35.2399124,4,8
Annas Bar,0.5680124,35.2347381,4,7
Kokwet Corner Bar,0.568167,35.2340092,4,7
Checkpoint Bar 'N' Restaurant,0.5660803,35.2321933,4,8
Mje Mje Bar,0.5663231,35.2322209,4,7
Bar 'N' Lodge,0.5659697,35.2322845,4,13
Itisi Bar & Restaurant Boarding & Lodging,0.5657206,35.231205,4,13
Waterloo Club & Lodge,0.5663285,35.2322598,4,13
Lessos Bar,0.565776,35.2317193,4,7
Indiana Wines & Spirits,0.5680416,35.2339328,4,10
Ruby's Wines & Spirits,0.5694688,35.2334617,4,10
Malindi Cafe,0.5684688,35.2343023,4,14
Lakers Cafe,0.5680893,35.2346724,4,14
Micro Bytes Cafe,0.5675183,35.2343033,4,14
Green Cafe,0.5670956,35.2335164,4,14
Little Chef,0.5669346,35.2330802,4,14
Ebeneza Cafe,0.5668703,35.2331248,4,14
Zayuni Cafe,0.5672283,35.234258,4,14
Sunrise Bar,0.4757356,35.2621637,4,7
7 Up Bar,0.4828187,35.2561516,4,7
Kajembe Village Inn,0.4746839,35.2539575,4,7
Benom Bar & Butchery,0.4741609,35.2550545,4,8
Venus Inn,0.5105371,35.2750909,5,8
Signature Club & Restaurant,0.516168,35.2734277,5,8
Eldoret Club,0.5009926,35.2938798,5,15
Club Tilja Eldoret,0.5159176,35.2755198,5,15
Sixty Four Resort & Sporting Club,0.500923,35.2758068,4,15
New Speener'z Pub & Restaurant,0.4742601,35.2533784,4,11
Tipsy Pub,0.4747432,35.252898,4,11
Vision Parlour Pub,0.4751907,35.253425,4,11
Lake Breeze Pub,0.4834785,35.2563983,4,11
Kisumu Ndogo Pub And Restaurant,0.4848125,35.2571245,4,11
Egesa Poa Pub,0.4845702,35.2577314,4,11
Home Pub,0.4847116,35.2582128,4,11
The New Regal Club,0.4847579,35.2581498,4,11
Benom Wines & Spirits,0.4741743,35.2550036,4,10
Winkkers Wines & Spirits,0.4845031,35.2571252,4,10
Lyeo Cafe,0.4848142,35.2568999,4,14
Starbucks Hotel Eldoret,0.4742521,35.2611995,4,14
Gacheri -Mama Kuku,0.4737327,35.261294,4,14
Nice Cafe,0.4750755,35.2536571,4,14
Naiberi Annex Inn,0.4783624,35.2544819,4,14
Flamingo Cafe,0.4789618,35.2549767,4,14
Fish Point Cafe,0.4792706,35.25497,4,14
Village Inn Cafe,0.4807897,35.2556164,4,14
Roxy Restaurant,0.4813328,35.2556071,4,14
Remba Restaurant,0.4828911,35.2561596,4,14
Greenline Hotel & Butchery,0.4771434,35.2543116,4,14
Green Line Boarding & Lodging,0.4772178,35.2542958,4,13
Lodging Available,0.4759767,35.2536799,5,13
New Cheers Cafe Butchery,0.4747295,35.2537724,5,14
Bellavista Pub,0.4795458,35.301679,5,11
Kampala Pub,0.4795978,35.30174,5,11
Links Pub & Restaurant,0.4796897,35.3017729,5,11
Frakaz Pub,0.2893769,35.2923131,5,11
Natalie's Resort,0.4807813,35.2943435,5,14
Solution Lounge Resort Place,0.4779946,35.2956883,5,14
Galti Villas,0.4861996,35.286682,5,14
Swizzle Snack,0.4800373,35.3018272,5,14
Rift Fries,0.4802321,35.3018537,5,14
Elshadai Cafe,0.480567,35.3020478,5,14
Neema Snacks,0.4805872,35.3017755,5,14
Bakers Point,0.4809556,35.3018144,5,14
Annex Fast Food,0.479659,35.3017974,4,14
Naiberi Annex Inn,0.4783624,35.2544819,4,14
Moi University School of Law-Annex,0.4814616,35.2981818,4,14
THE KANDIZ CAFE,0.2897417,35.2919242,4,14
Relax Joint Hotel & Butchery,0.2889734,35.2926654,4,14
Wines and Spirits,0.2890551,35.2927101,4,10
Kings Wines And Spirits,0.2895633,35.292245,4,10
Ben Ten Joint,0.4800346,35.3014326,4,15
Six Resort,0.4784415,35.301048,4,15
Timba Grill,0.4916751,35.3009538,5,15
Hotel Baron,0.5181954,35.271009,5,14
Eldo Bliss Hotel,0.5174272,35.271886,5,14
Boma Inn Eldoret,0.504796,35.283731,4,14
Jacaranda Way Guest House,0.5006741,35.2725219,4,14
The Noble Conference Centre,0.5113939,35.2989435,4,14
Twenty Four Resort Ltd,0.515671,35.284961,4,15
Queens Garden,0.484799,35.266972,4,14
Maya Hotel,0.4880438,35.268358,4,14
Hotel Babel,0.5246848,35.2602021,5,14
Asis Hotel,0.5178011,35.2689775,5,14
The Marriot Hotel,0.4591249,35.2563179,5,14
Winstar Hotel,0.5177263,35.2706134,5,14
Sirikwa Hotel,0.5207467,35.2754584,5,14
Rosewood Cottage,0.5094852,35.2925062,5,14
Poa Place Resort,0.5060998,35.3016901,5,14
De - Legacy,0.5050924,35.3009428,5,14
Oasis Restaurant,0.5043078,35.3011537,5,14
Oasis Garden,0.5042367,35.3009994,5,14
De Legacy Hotel,0.5080584,35.2958235,5,14
Big Five Restaurant,0.5082924,35.2924278,5,14
Eldo Stream Restaurant,0.5087358,35.2811485,5,14
Moi University SOM Restaurant,0.5115867,35.2827366,5,14
Koimur Cafe,0.5153607,35.2783844,5,14
Heralds Restaurant,0.5154457,35.2795028,5,14
Mask Food,0.5158968,35.2781349,5,14
Comfy Inn Eldoret,0.5159886,35.2775361,5,14
Nyunguz Restaurant & Dairy,0.5157342,35.2774489,5,14
Metkei Cafe,0.5165248,35.2776226,5,14
Eden Juice,0.5163453,35.2771927,5,14
Eldo - Tea Room,0.5161077,35.2771207,5,14
Members Premier Restaurant,0.5158382,35.2762581,5,14
Members Hotel and Butchery,0.5157577,35.2764747,5,14
Cafe Delicious,0.5155509,35.2759524,5,14
Sizzlers Cafe,0.5152446,35.274688,5,14
Le Cafe,0.5147515,35.2773088,5,14
Eldo Downtown Cafe,0.5146071,35.2777219,5,14
Kaptarkwa Hotel,0.5150743,35.2767536,5,14
Chicken Inn,0.5154549,35.2772887,5,14
Kuku Tamu,0.5140921,35.2760804,5,14
Say Cakes,0.5153731,35.2737669,5,14
Kerio Cafe,0.5158703,35.2751255,5,14
Lincon Hotel,0.5157175,35.2738756,5,14
Chicken Zone,0.5157385,35.2736918,5,14
Delicious Delights,0.5147988,35.2732392,5,14
Zaika Lounge,0.5142708,35.2699515,5,14
Fish & Chicken,0.5175466,35.2711357,5,14
Msafiri Cafe,0.5184186,35.2722052,5,14
Tropical Fast Food Hotel,0.5201365,35.2769628,5,14
Wagon Wheel Hotel,0.5209667,35.2747815,5,14
Wagon Cafeteria & Games Complex,0.5221148,35.2754519,5,14
The African Pot,0.5241875,35.2757692,5,14
ELDORIA RESTAURANT,0.5235353,35.2712681,5,14
Ukulima Cafe & Butchery,0.5207598,35.2728993,5,14
Pejos Cafe,0.5211795,35.2721598,5,14
Tealand Cafe,0.5214008,35.2712658,5,14
Gotab Sanik Cafe,0.521948,35.2692917,5,14
Glory Cafe,0.5215698,35.2706891,5,14
Tekeltich Cafe,0.5216208,35.2704263,5,14
Towfiq Cafe Eldoret,0.5218202,35.2688964,5,14
Bobby's Cafe,0.5201992,35.267103,5,14
Biretwo Cafe,0.5198439,35.2683073,5,14
Fish Point,0.5199149,35.2680941,5,14
Turtle Cafe,0.5192645,35.2683435,5,14
Meat Point Hotel,0.5187053,35.2669179,5,14
Mubaraka Cafe,0.5189433,35.2680096,5,14
Joy Food Kiosk,0.5180183,35.2685886,5,14
Mursik Dairy Kiosk,0.5179721,35.2684498,5,14
Milele Hotel,0.5143277,35.2617546,5,14
Heron Cafe,0.5225139,35.2652496,5,14
Ice Pub,0.5155545,35.2739486,5,11
Nyanya's Pub,0.5174288,35.2769256,5,11
Volcano Pub,0.515484,35.2769466,5,11
Jabez Pub & Restaurant,0.5166022,35.2772617,5,11
Tamarind Cool Pub,0.5157596,35.2774865,5,11
Triple Mingo Pub,0.517493,35.2759704,5,11
New Ours Pub,0.5157416,35.2752247,5,11
Cravers Pub,0.5169995,35.2763452,5,11
Malang Keg Pub,0.5153715,35.2783871,5,11
The Well Irish Pub & Restaurant,0.516892,35.274014,5,11
Good Hope Pub,0.5215832,35.2706033,5,11
Good Friends Pub,0.5179935,35.2707159,5,11
Kahururuko Pub,0.5177418,35.2703972,5,11
The Wallet Pub,0.5177746,35.2704021,5,11
Kabs Pub,0.5194732,35.2673229,5,11
Taidys Pub,0.5181638,35.2681276,5,11
Who's Pub,0.5178229,35.2716647,5,11
West Indies Prestige Pub,0.5146888,35.2611733,5,11
Mawindo Pub,0.5214706,35.2710754,5,11
Pub United,0.5186544,35.2714066,5,11
Pozi Pub,0.5174662,35.2760106,5,11
Stage Pub,0.5182628,35.2730548,5,11
Will's Pub And Restaurant,0.518081,35.2745344,5,11
Elkim Keg Pub,0.5167896,35.272335,5,11
Tervan Pub & Restaurant,0.5198331,35.266871,5,11
Trail Blazers Club,0.5239822,35.2757999,5,15
Ritz Pub & Restaurant,0.5195167,35.2748425,5,11
Talex Inn Restaurant,0.5272545,35.279887,5,8
Black Bells Bar,0.5155512,35.2736396,5,7
Who's Pub,0.5178229,35.2716647,5,11
C'zars Palace,0.5157872,35.2743047,5,7
Mombasa Bar,0.5137595,35.2765363,5,7
Garden Bar,0.5169029,35.2778533,5,7
Kutana Bar,0.5157714,35.2739835,5,7
Capetown Bar,0.5171733,35.2762058,5,7
Itisi Bar,0.5196494,35.2686828,5,7
Glana Bar,0.5165811,35.272285,5,7
Murenju Bar,0.5159809,35.2753112,5,7
Paradise Bar,0.5175339,35.2764425,5,7
Prestige Bar,0.5155565,35.275954,5,7
Signature Club & Restaurant,0.516168,35.2734277,5,15
Proprietary Destiny Night Club,0.5155981,35.275454,5,15
Opera club,0.5164845,35.2733123,5,15
CLUB SUMMIT LEATHER,0.5175094,35.275905,5,15
Spree Discotheque,0.5157175,35.2731729,5,15
Scissors Discotheque,0.5168171,35.2746642,5,15
Tango,0.5174555,35.2762359,5,15
Sams Discotheque,0.5184049,35.2734357,5,15
Black Bamboo Lounge,0.5167843,35.274927,5,15
Mosoriot Bar,0.5141511,35.2767241,5,7
Bubble Inn,0.515928,35.275856,5,15
Zaika Lounge,0.5148052,35.2908154,5,15
Keroche Eldoret Depot,0.5143486,35.2886965,5,7
Bravita deejays bar and restaurant,0.5183503,35.2966328,5,7
Taccos Resort Palace,0.5348552,35.2867566,5,15
El Paraiso Resort,0.5350822,35.288322,5,14
Yellow Bar & Restaurant,0.5409995,35.2995895,5,8
Sinai Kuku Joint,0.544034,35.3038854,5,14
Emro Cafe,0.5443394,35.3042774,5,14
Jamboni Hotel,0.5460951,35.3061251,5,14
Garden Of Eden Restaurant,0.5470352,35.3069455,5,14
Ranson Bar and Restaurant,0.5472166,35.3059696,5,14
Chips Joint,0.5512159,35.3098195,5,14
Da Coco Beach Resaturant,0.5531658,35.3078367,4,14
Home Ground Bread,0.5538497,35.3158508,4,14
Main mess/Cafeteria,0.5782356,35.3051528,4,14
Golden Breeze Hotel,0.5850647,35.3081957,4,14
Best Chips,0.5844824,35.3070079,4,14
Chep Cafe,0.5904792,35.3086413,4,14
nexine resort kamungei,0.6223407,35.3117806,4,14
Rehema Hotel,0.5270241,35.3051571,4,14
EF Poa Cafe,0.527469,35.3062414,4,14
Montego Bay,0.5543912,35.3122838,4,14
Juicy Spot Mini Eatery,0.5547972,35.3124893,4,14
Hotel Galaxy,0.5559072,35.312689,4,14
Grill Bar & Restaurant,0.5571067,35.3131867,4,8
Landmark Hotel & Guest House,0.5535317,35.3135733,4,16
Snack Bistro,0.5877465,35.3081766,4,14
Chep Chips Kuku Joint,0.5866056,35.3074015,4,14
Eldos Butchery Pub & Pub,0.5494095,35.3087862,4,11
Carribian Pub & Restaunt,0.5439112,35.3036963,4,11
Sijom Pub,0.5809381,35.3472897,4,11
Wangas Pub,0.5270241,35.3051571,4,11
The Office Pub and Restaurant,0.5182665,35.2963723,4,11
Novella Pub,0.5533066,35.3122828,4,11
Ndovu Home Pub,0.5551237,35.319919,4,11
Planet Wines And Spirits,0.5281711,35.3062163,4,10
Zebra Wines & Spirits,0.5430962,35.3038013,4,10
Modoz Wines & Spirits,0.5500898,35.3079426,4,10
Orion Wines & Spirits,0.5419034,35.3012592,4,10
Gashaj Wines & Spirits,0.5538732,35.31594,4,10
Jackals Wines And Spirits,0.5176083,35.2783254,4,10
Voltage Wines & Spirits,0.5895951,35.3081984,4,10
Legends Wines And Spirits,0.5910937,35.3083144,4,10
Natives,0.5906914,35.3086417,4,10
Black Bells Bar,0.5155512,35.2736396,4,7
Ranson Bar and Restaurant,0.5472166,35.3059696,4,8
Side Bar,0.5423865,35.302264,4,7
5D Sports Bar & Grill,0.5378464,35.2932438,4,8
Starwood Bar & Restaurant,0.5190969,35.2998558,4,7
Subiz Bar & Lounge,0.5188626,35.3003081,4,7
Chepkanga,0.5760332,35.3414126,4,7
Lapuz Bar,0.5843882,35.3068057,4,7
Sego Bar,0.5861858,35.30824,4,7
Sijom Pub,0.5809381,35.3472897,4,11
Montego Bay,0.5543912,35.3122838,4,7
Zebra Wines & Spirits,0.5430962,35.3038013,4,10
Orion Wines & Spirits,0.5419034,35.3012592,4,10
Yellow Bar & Restaurant,0.5409995,35.2995895,4,8
Annas Bar,0.5680124,35.2347381,4,7
Kokwet Corner Bar,0.568167,35.2340092,4,7
Neon Lounge Eldoret,0.5778424,35.3432966,4,15
Sunset Bar,0.5797342,35.3485258,4,7
Olepolos Bar And Restaurant,0.5801395,35.3464414,4,8
AnnChic Hotel,0.5299326,35.2550867,4,14
Chips Takeaway,0.5295437,35.2548131,4,14
Sues Cafe,0.5297485,35.2539682,4,14
Steak House,0.5301606,35.2547863,4,14
Kuku Centre,0.5294739,35.2547139,4,14
Blessed Cafe,0.5269319,35.2518757,4,14
Choices Bar & Restaurant,0.5273993,35.2512649,4,8
Hotel Babel,0.5246848,35.2602021,4,14
West Gate Wines & Spirits,0.5297582,35.2543733,4,10
Andrews Wine And Spirit,0.5300804,35.255606,4,10
Choices Bar & Restaurant,0.5273993,35.2512649,4,8
Spice Makuti,0.5305602,35.2495426,4,15
Rex Guest House,0.5305601,35.250029,4,16
Muranga Bar Lodging And Restaurant,0.5246283,35.2606767,4,13
Murang'a Club,0.5247108,35.2599908,4,15
Mulembe Bar,0.5244396,35.2602258,4,7
Summer Deepwest Bar,0.5241419,35.2594051,4,11
Summer Cool Pub,0.5295902,35.2544587,4,11
Power Point Pub,0.5296288,35.2539712,4,11
Hot joint Pub,0.5301042,35.2546361,4,11
Reflection Pool Pub,0.5301337,35.2544188,4,11
Vianis Pub,0.5303242,35.254333,4,11
Hooters,0.530351,35.2543384,4,11
The Springs Pub,0.5250847,35.2599938,4,11
Queens Pub,0.5301713,35.2543974,4,11
Sportsvilla Pub,0.5246757,35.2599898,4,11
Unity Pub,0.5245663,35.2599864,4,11
Hollywood Pub,0.5245737,35.2600166,4,11
Divaz Wines And Sound For Hire,0.5464177,35.2431733,4,10
Mising Wines And Spirits,0.5630174,35.2390052,4,10
5 Dee Hotel,0.5384345,35.2390937,4,14
Rocksprings Gardens,0.5412178,35.235517,4,14
Isco Lodge,0.5426071,35.2458418,4,14
Rabai Hotel,0.5431412,35.2460282,4,14
Rabai Raha Fries,0.544609,35.2455837,4,14
Kipkaren Exotic Grill,0.545081,35.2459323,4,14
Bread Shop,0.5466286,35.2496512,4,14
I Smile Cafe,0.5466114,35.2431331,4,14
C's Restaurant,0.5468861,35.245707,4,14
637 Cafe,0.5470577,35.2456775,4,14
Lansa Cafe,0.5476371,35.2455756,4,14
Bismilah Rehema Cafe,0.548042,35.2455273,4,14
Eldoret Premior Hotel,0.5644084,35.2377392,4,14
East Guest House,0.5645616,35.2384033,4,14
"Monaco Lounge ""N"" Grill",0.5604846,35.2419362,4,14
Pizza Bistro,0.5436756,35.2514148,4,14
Magongo Bar & Restaurant,0.5417324,35.2453858,4,8
Turtle Lounge,0.5456376,35.2456494,4,15
Kibabii,0.5474278,35.245581,4,7
Venus Bar,0.5513802,35.2447397,4,7
Nomads Cafe Bar And Accomodation,0.5517299,35.2446207,4,9
Club 24 Resort,0.5539728,35.243519,4,15
Nikos Sport Club,0.5554875,35.242875,4,15
Members Places,0.5575872,35.2416653,4,15
Kutis One On One Resort Members Club,0.5568825,35.2422322,4,15
Fly Over Bar And Restaurant,0.5601586,35.2399124,4,8
"Monaco Lounge ""N"" Grill",0.5604846,35.2419362,4,15
Apple Bees Butchery,0.5522727,35.2423154,4,8
Uncle Tim Bar,0.5445607,35.2455997,4,7
Miles Pub,0.5464382,35.24575,4,11
Texas Pub & Restaurant,0.5466721,35.2444323,4,8
Chavakali Pub,0.5495655,35.2448487,4,11
Rock & Roll Pub,0.5721482,35.231097,4,11
Wawi Pub,0.5501636,35.2451357,4,11
Leaders Corner Pub,0.5487582,35.2447602,4,11
Max Pub,0.5520568,35.2445225,4,11
Amani Pub,0.565493,35.2307631,4,11
Lessos Bar,0.565776,35.2317193,4,11
Half London Club,0.5474493,35.245581,4,15
Buffalo Keg Joint,0.544491,35.2456105,4,12
Nyathiru Motel,0.5358117,35.246686,4,14
Guest Cafe,0.5354134,35.246568,4,14
Tausi Cafe,0.5333254,35.2434888,4,14
Mama Jimmy Cafe,0.5321547,35.2444182,4,14
Blessed Cafe,0.5324149,35.2439864,4,14
64 Mulembe,0.5349561,35.2456614,4,7
Destination Pub,0.5361342,35.2469797,4,11
Mutah's Bar,0.5345002,35.243293,4,7
White Sand Pub,0.5328936,35.2437826,4,11
The Blue Pub,0.5328467,35.2439529,4,11
The Great Junior Pub,0.5322284,35.244846,4,11
Cool Joint Pub,0.5322794,35.2448085,4,11
Orna's Pub,0.5322526,35.2448219,4,11
Buffalo Keg Joint,0.544491,35.2456105,4,12
Deep West Pub,0.5461807,35.2457875,4,11
Pilot Lodge and Bar,0.534122,35.2431428,4,7
Mutah's Bar,0.5345002,35.243293,4,7
Kiratina bar& Restaurant,0.5337611,35.2452112,4,8
Kitengela Bar,0.5493257,35.2455266,4,7
